category,standardized_repair_type,frequency,example_items,est_hours,material_cost,sub_cost,notes
Exterior,Repair/seal cracks in driveway,59,Repair cracks in driveway; Patch or seal cracks in driveway to prevent moisture penetration; Repair cracks with displacement in driveway,,,,
Exterior,Secure/repair/replace damaged siding,60,Secure loose siding; Repair or replace damaged siding; Repair or replace hole(s) in vinyl siding,,,,
Exterior,Trim/remove vegetation in contact with home,37,Trim vegetation in direct contact with home for moisture and insect control; Remove vines growing against home siding; Prune or remove vegetation in contact with or within 1-2 feet of home,,,,
Exterior,Secure/install handrail or railing,47,Secure loose deck railings; Install graspable handrail at deck stairs; Install missing handrail at porch stairs,,,,
Exterior,"Seal exterior penetrations, gaps, and holes",39,"Seal exterior wall penetrations; Seal gaps where pipes, wiring, exhaust vents enter the home with caulking; Caulk all exterior components including windows, doors, masonry ledges, corners, and utility penetrations",,,,
Exterior,Repair/seal cracks in patio or walkway,27,Seal or patch cracks along exterior patio; Patch and seal minor cracks in walkway; Seal cracks in rear patio to prevent moisture and pest intrusion,,,,
Exterior,Repair/replace fascia and soffit,17,Repair damaged fascia and soffit; Secure loose soffits to seal out moisture and pests; Repair damaged eaves,,,,
Exterior,Install/extend downspouts and splash blocks,15,Install splash blocks or downspout extensions to divert water away from foundation; Extend downspouts at least five feet away from foundation; Install missing splash blocks at multiple downspouts,,,,
Exterior,Regrade soil or improve drainage away from foundation,11,Improve grading slope away from foundation; Regrade soil to slope away from foundation; Pull grading away from siding to eliminate ground contact,,,,
Exterior,Repair/replace deck boards,13,Repair or replace cracked and weathered/worn deck boards; Replace wood rot deck boards; Replace rotted/damaged deck boards,,,,
Exterior,Repair/replace fence boards or sections,11,Repair or replace loose and damaged fence boards; Repair damaged fence sections; Secure loose section of fence,,,,
Exterior,Trim tree branches near roof or structure,13,Trim tree branches overhanging the roof; Trim tree limbs within 10 feet of roof; Evaluate and address tree in close proximity to structure,,,,
Exterior,Repoint or seal mortar joints,17,Repoint/seal gaps in mortar joints to prevent moisture penetration; Repair loose mortar joints in brick siding; Seal and/or repair cracked mortar joints to prevent moisture penetration,,,,
Exterior,Remove wasp/bee nests from exterior,10,Remove wasp nests from exterior surfaces; Remove wasp nests under soffits; Remove wasp/bee nests from exterior surfaces,,,,
Exterior,Paint or repaint exterior wood trim/fascia/siding,11,Paint exterior wood trim with proper preparation; Repaint siding with proper preparation to prevent moisture penetration; Paint weathered and peeling exterior wood fascia,,,,
Exterior,Repair/treat wood rot at exterior trim or framing,8,Repair or replace wood rot at rear entry door casement; Repair wood rot at rear entry door casement/framing; Replace wood rot deck railings,,,,
Exterior,Clean gutters and adjust for proper drainage,5,Clean leaves and debris from gutters; Adjust sagging gutter for proper drainage,,,,
Exterior,Replace or repair window/door screens,8,Replace missing window screens; Repair or replace torn/damaged window screens; Repair damaged deck screens,,,,
