source_job,group_name,pricing_model,findings_count,labor_hours,labor_cost_rate,material_cost_total,sub_cost,scope_summary
102 Tuscany Way,Masonry Repairs,sub,10,,,,5000,"Repoint loose/missing mortar at left elevation stone arch, front porch steps, front stoop, front walkway, rear paver patio, brick retaining wall, and exterior stairs. Includes walkway crack repair, walkway settlement correction, patio crack sealing and paver joint filler, and retaining wall settlement repointing."
102 Tuscany Way,Crawlspace Remediation,sub,8,,,,2450,"Crawlspace debris removal, seal foundation wall pipe/wire penetrations, respread and resecure bunched vapor barrier, remove and replace fallen/damaged/moisture-laden floor insulation throughout."
102 Tuscany Way,HVAC System Service & Repairs,sub,23,,,,3200,"Multi-system: 4 air handlers with lineset insulation, 3 outdoor units, leaking condensate drain at furnace, drain cleanout caps, whole-home duct cleaning, air leak sealing, filter replacement across 4 units, furnace rust evaluation, fungal growth on supply vent, rain cap, AC clearance correction, unlevel pad, condensate line extension."
102 Tuscany Way,Plumbing Repairs,sub,15,,,,1800,"AAV vent relocation, anchor 2 exterior faucets, washing machine hoses, water heater T&P discharge pipe reconfiguration, toilet flush mechanism, master bath recaulk, showerhead leak, sink stopper, jetted tub line cleaning, tub diverter, secure utility sink."
102 Tuscany Way,Fireplace Service & Repairs,sub,5,,,,2200,"Gas log service and correction at 3 fireplaces including firebox soot cleaning, relocate gas shutoff valve out of firebox, supply and install one throat damper."
102 Tuscany Way,"Roofing, Flashing & Downspout Repairs",sub,5,,,,1800,"Front-edge shingle replacement, remove excess roof nails and seal penetrations, resecure loose downspouts at front porch and rear, install kick-out flashing at multiple wall-to-roof junctions, re-seat loose flashing at front."
102 Tuscany Way,Electrical Corrections,sub,23,,,,3375,"Two-day multi-item code-correction punch list: main panel left and right, two sub panels, ground/neutral separation, bushings, loose breakers, GFCI installs at exterior/garage/kitchen, attic splice correction, conduit for exposed interior and exterior wiring, cover plates, reverse polarity, loose receptacles, CSST gas bonding."
102 Tuscany Way,Structural Framing Corrections,in_house_lump,2,,,1073.94,,"Replace improperly installed and corroding crawlspace support jacks on proper footings, repair overnotched floor joists. Labor billed as a $1125 cost lump rather than hourly. Materials are real Ellis jack SKUs: 2x STL-JHQ Quad U-Head at $95.50, 2x BASE-12 at $104.99, 2x STL-22 at $336.48."
102 Tuscany Way,Exterior Door Repairs,in_house,16,26,55,243,,"Front entry door sweep/weatherstrip/adjustment, rear entry door rotted casement and door section replacement, damaged trim, loose knob, recaulk, double door alignment, side entry adjustment and sweep, right side entry missing hardware, loose knob, non-functioning lock, threshold gaps, recaulk."
102 Tuscany Way,"Exterior Trim, Shutters, Fascia & Paint Repairs",in_house,6,30,55,371,,"Seal gaps in right-side exterior trim, repair/replace damaged and missing front shutters, recaulk all exterior window frames, wire brush and prime and paint rear steel window lintels, replace rotted right-side fascia board with prime and paint."
102 Tuscany Way,Exterior Railings & Gate,in_house,4,10,55,1964,,"Re-anchor loose stoop railings, install code-compliant graspable handrail at rear patio steps, install handrails at exterior pool-area stairs, secure loose fence gate hinge. Materials billed as 4 units at $491 each covering handrail sections, masonry anchors, epoxy adhesive, and gate hardware."
102 Tuscany Way,Master Bathroom Repairs,in_house,3,16,55,87,,"Shower stall door sweep replacement, shower door adjustment, cracked floor tile repair. Materials: shower door sweep, replacement tile, thinset, grout."
102 Tuscany Way,"Interior Door, Window & Cabinet Repairs",in_house,9,10.5,55,226,,"Adjust sticking bedroom door, install missing door stops throughout, adjust bowed master bath door, repair rotted interior window trim at 2 locations, replace missing casement crank handles, secure loose crank handles, adjust cabinet doors and drawers throughout."
102 Tuscany Way,Garage Repairs,in_house,5,10,55,230,,"Replace rotted wood at garage door casement, seal pipe and wire penetrations with fire-rated caulk, patch garage ceiling and wall holes to restore fire rating, replace garage door bottom weatherstripping, adjust opener chain tension."
102 Tuscany Way,Attic Repairs,in_house,3,6,55,164.25,,"Repair loose and missing attic pull-down stair hardware, seal rodent entry points and disinfect, redistribute disturbed attic insulation."
102 Tuscany Way,Gas Line & Meter Repairs,in_house,3,4,55,37,,"Wire brush and prime and paint rusted exterior gas lines, correct gas meter soil contact clearance, evaluate and repair leaning vent. Materials: rust primer, exterior metal paint, wire brush, quick-set concrete."
102 Tuscany Way,Interior Balcony Railings,in_house,1,2.5,55,143.52,,"Re-anchor loose interior balcony railings to framing below. Materials: construction adhesive/epoxy plus 6 lag screws/structural fasteners at $21.59 each."
102 Tuscany Way,Kitchen Sink Chip Repair,in_house,1,,55,,,"Patch chipped enamel on kitchen sink surface. Small single-item group totaling $260.50 billed."
102 Tuscany Way,Exterior Light Fixture Sealing,in_house,1,,55,,,"Seal gaps around exterior light fixtures with paintable caulk. Small single-item group totaling $281.82 billed."
