source_file,category,item,location,severity
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Roofing,Evaluate and repair damaged roof coverings to prevent water penetration,Multiple,Major
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Roofing,Repair loose shingles,Left Front,Major
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Roofing,Clean or repair discolored roof shingles,Multiple,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Exterior,Repair damaged vinyl siding and seal holes to prevent water penetration,Exterior,Major
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Exterior,Seal settling cracks in brick fascia to prevent water penetration,Front,Major
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Windows/Doors,Replace damaged weatherstripping on exterior doors,Front Entry,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Windows/Doors,Repair wood rot at exterior door casements,Rear Entry and Front Entry,Major
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Exterior,Remove wasp nests under soffits,Exterior Soffits,Safety
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Exterior,Patch and seal minor cracking in driveway,Driveway,Cosmetic
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Exterior,Patch and seal minor cracking in patio,Patio,Cosmetic
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Foundation/Structural,Seal settling cracks in slab foundation to prevent water penetration,Multiple,Major
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Foundation/Structural,Seal hairline settling cracks in garage concrete slab,Garage,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Windows/Doors,Replace damaged weatherstripping on garage door,Garage,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Windows/Doors,Secure loose trim at garage door casement,Garage,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Other,Adjust garage door safety eye sensors to proper height for child safety,Garage,Safety
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,HVAC,Replace dirty air filter in HVAC return,Dining Room,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,HVAC,Replace heavily soiled air filter and inspect/service air handler unit for debris bypass,Second Floor Hall,Major
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Plumbing,Evaluate and repair inoperable exhaust fan,Master Bathroom,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Plumbing,Install missing weatherstripping on shower stall door to prevent water leakage,Master Bathroom,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Plumbing,Secure and caulk loose bathtub downspout to prevent water penetration behind tub,Second Floor Hall Bathroom,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Plumbing,Seal shower head connection with Teflon tape to stop leak,Second Floor Hall Bathroom,Minor
102_eagle_pass_dr___residential_report_by_alliance_pro_inspections_.pdf,Plumbing,Evaluate and repair whistle/humming noise from shower,Second Floor Hall Bathroom,Minor
